Var1,Weighted
RP11-872D17.8,-0.491183836581338
AC012379.1,-0.491121514245851
SNAPC3,-0.491097166965296
EEF1B2P3,-0.491060202934904
VWA5A,-0.491051933938382
RP4-693M11.3,-0.491048015281184
LDLRAD3,-0.49102294956579
SPTSSA,-0.49099253107863
TMEM203,-0.490976210790091
SPCS3,-0.490934161693835
DBNL,-0.490924601838623
ZMAT3,-0.490890835296311
PSMB5,-0.490863532539013
C6orf145,-0.490794328942842
ALG1,-0.490770760969738
C15orf39,-0.490745756243634
FZD1,-0.490729558234052
RP11-543B16.2,-0.490661307177964
SQRDL,-0.49064509098804
PPM1G,-0.490589355940852
FUT11,-0.490565510863887
LIN37,-0.490559307269793
YWHAQ,-0.490550047342718
SALL3,-0.49054205826685
LDOC1,-0.490530447904148
SLC43A3,-0.490528901890399
GIMAP4,-0.490471385776913
SLC4A2,-0.490470317001588
MDH2,-0.490441721188641
CGNL1,-0.490427362360741
MBD6,-0.490418915895892
TRAPPC1,-0.49040323438652
LY86,-0.490298555768834
SNAP29,-0.490287617421976
SS18,-0.490271755573457
SYDE1,-0.490253639517785
MEA1,-0.490230857068217
RTKN,-0.490219721094809
NAB1,-0.490201075040675
DFNB31,-0.490170957379753
CSF1R,-0.490147223651421
A4GALT,-0.490146571397915
MRFAP1L1,-0.490128742093214
SNORD22,-0.490124964784379
BEX5,-0.490106375052058
UBE2QL1,-0.49006978439527
MTCP1NB,-0.489995229774569
RP11-410L14.2,-0.489988427738623
DOCK6,-0.489937353508183
SNX21,-0.489932164940321
RP11-517I3.1,-0.489875676927343
CSDA,-0.489874439307738
FAM171A1,-0.489868188316188
NOTCH4,-0.489817919332158
TSPAN33,-0.489789981764245
ZNF687,-0.489785664505954
PCDH10,-0.489714874912453
CCDC86,-0.489686809328121
TJP1,-0.489652446023968
HHLA3,-0.489614441461849
IVD,-0.489611635049514
MAML2,-0.489463753895756
SLC15A4,-0.489448534919472
SSSCA1,-0.489412218493354
ACAA1,-0.489366758001518
FES,-0.489314799265453
GPR123,-0.489307478632897
SRPK3,-0.489209236017386
MAP3K6,-0.489187600956346
AL355574.1,-0.489173835208688
RPRM,-0.48915060369632
TEK,-0.488968475683752
TNFSF12-TNFSF13,-0.488967207012396
NDUFS5,-0.488943894602092
RPL7,-0.488901193222315
RBFOX2,-0.488884938322004
C4orf52,-0.488800093894299
ARHGEF6,-0.488752417644903
Y_RNA,-0.48872635673561
MAP1LC3B2,-0.488722097596465
ZFYVE21,-0.488697098047139
FMNL3,-0.488695375449941
LAMA4,-0.488692316045302
FZD4,-0.48863861109955
PLSCR1,-0.488507212898175
RAP1GDS1,-0.488503283504633
CHST14,-0.488450058038898
CAST,-0.4884410212058
BMPR1B,-0.488373960481686
RP11-732A19.9,-0.488347391702036
RP5-956O18.3,-0.488296913505443
UBTD1,-0.488276829995182
CCDC50,-0.488259131461327
ORAI1,-0.4882558778069
DECR1,-0.488229627199652
BSCL2,-0.488156274651193
P2RY1,-0.488155757781867
PPP1R3D,-0.48814565780076
NDUFB9,-0.488105438638701
ANXA11,-0.488091129671466
YAP1,-0.488085448130127
ABI3,-0.488078365294936
KLF15,-0.488071519967849
DDX49,-0.488050295444193
REEP3,-0.488047347673013
ARAP3,-0.488037364300598
ANKHD1-EIF4EBP3,-0.488024001636822
SNN,-0.487988516258501
SLC35A2,-0.487971449270469
AC108479.2,-0.487899560329281
EFNA4,-0.487892072599319
PIK3R3,-0.487879969515557
CALM3,-0.487824328814911
MOAP1,-0.487820064352482
TREX1,-0.487793752769632
RFX4,-0.487789812388418
GALNTL2,-0.487762007407077
RP11-878E11.1,-0.487758684064142
TRIM65,-0.487710280877264
AC078883.4,-0.487670556024852
SUGT1P2,-0.487664922625981
UQCR10,-0.487632886633703
HEG1,-0.487521444712366
UAP1L1,-0.487520268431242
MTUS1,-0.487520089094486
UQCRC1,-0.487502502576702
AL136982.1,-0.487476561751045
HEXIM1,-0.487451699205045
POLR2G,-0.487432441253116
ANKRD40,-0.487404722069892
NDUFB8,-0.487396987457361
PYGL,-0.487389720954733
EXOSC5,-0.487387216654531
RAP2C,-0.487335929742058
ITPA,-0.487317140146328
FNBP1L,-0.487222178772723
SEMA3G,-0.487220338560584
KRI1,-0.487188909489764
VCAN-AS1,-0.487161809813572
B4GALT5,-0.487147293319881
EIF4G2,-0.48714089657391
BCL7B,-0.487129338646118
AP000295.7,-0.487123306555798
PDE2A,-0.487102197698885
AC084031.1,-0.487063554086463
ARHGAP5,-0.487043662855594
MOSPD1,-0.487041810199457
TMEM187,-0.487015015400945
NEDD8,-0.486970467675408
LRRC16A,-0.48696509249399
RP11-328C8.2,-0.486884026209761
MARCH8,-0.486872695107494
IGLON5,-0.486865860241323
TFEB,-0.486859797359807
MAFK,-0.486821595589259
TMOD1,-0.486814845263626
CCND1,-0.48671309578729
BOK,-0.486705471280309
CALM2P2,-0.486625046314761
C14orf119,-0.486563911078885
RP11-119H12.2,-0.486527735340663
PRKCH,-0.486526014530124
MAGEH1,-0.486492921207419
